category,total_count,available_count,markdown_count,median_price,median_markdown_percent,unique_special_offers
"Інтернет магазин,Витяжні вентилятори,Витяжні вентилятори Soler&Palau",1,1.0,1.0,3600.0,20.0,"['12 платежів,25 місяців,аванс 0%,ЗА ОПЛАТУ КАРТКОЮ ОНЛАЙН,Програма лояльності']"
"Інтернет магазин,Витяжні вентилятори,Витяжні вентилятори airRoxy",1,1.0,,703.0,,"['12 платежів,25 місяців,аванс 0%,ЗА ОПЛАТУ КАРТКОЮ ОНЛАЙН,Програма лояльності']"
"Інтернет магазин,Електричні грілки,Електричні грілки Beurer",2,2.0,,2244.0,,"['12 платежів,25 місяців,аванс 0%,ЗА ОПЛАТУ КАРТКОЮ ОНЛАЙН,Програма лояльності']"
"Інтернет магазин,Захисне скло для смартфонів,Захисне скло для смартфонів Armor Standart",1,1.0,1.0,155.0,56.0,"['Безкоштовна поклейка!,Програма лояльності']"
"Інтернет магазин,Комп'ютери,Комп'ютери ARTLINE",467,464.0,11.0,48234.0,9.0,"['12 платежів,25 місяців,аванс 0%,Програма лояльності'
 '25 місяців,аванс 0%,Програма лояльності'
 ""12 платежів,25 місяців,аванс 0%,Програма лояльності,Чорна П'ятниця""
 ""25 місяців,аванс 0%,Програма лояльності,Чорна П'ятниця""]"
"Інтернет магазин,Комп'ютери,Комп'ютери Asus",6,6.0,,70057.5,,"['12 платежів,25 місяців,аванс 0%,Програма лояльності']"
"Інтернет магазин,Комп'ютери,Комп'ютери Cobra",48,48.0,,14899.0,,"['12 платежів,25 місяців,аванс 0%,Програма лояльності']"
"Інтернет магазин,Комп'ютери,Комп'ютери Dell",4,4.0,,45595.5,,"['12 платежів,25 місяців,аванс 0%,Програма лояльності']"
"Інтернет магазин,Льодогенератори,Льодогенератори GoodFood",1,,,,,[nan]
"Інтернет магазин,Майнінг ферми,Майнінг ферми AMD",2,,,,,[nan]
"Інтернет магазин,Майнінг ферми,Майнінг ферми Nvidia",2,,,,,[nan]
