time,title,url,SKU,category,availability,price,price_regular,seller,offers
2021-11-24 13:53:52.418589,Навушники Apple iPod EarPods with Mic Lightning MMTN2ZM/A White (У1),https://allo.ua/ua/naushniki/naushniki-apple-ipod-earpods-with-mic-lightning-mmtn2zm-a-white-u1.html,366565,"Інтернет магазин,Навушники,Навушники Apple",False,None,None,Official Apple Dealer,"Програма лояльності,Товар знижений в ціні"
2021-11-24 13:53:52.554825,Apple iPhone 13 Pro Max 256GB Graphite (MLLA3),https://allo.ua/ua/products/mobile/apple-iphone-13-pro-max-256gb-graphite.html,874491,"Інтернет магазин,Смартфони і мобільні телефони,Смартфони і мобільні телефони Apple",True,46499,48999,Official Apple Dealer,"25 місяців,аванс 0%,25 платежів,Неймовірна пропозиція від Apple.,Програма лояльності"
2021-11-24 13:53:52.901119,Комп'ютер ARTLINE Home H53 (H53v17),https://allo.ua/ua/kompjutery/artline-home-h53-h53v17.html,768302,"Інтернет магазин,Комп'ютери,Комп'ютери ARTLINE",True,12759,None,ALLO,"12 платежів,25 місяців,аванс 0%,Програма лояльності"
2021-11-24 13:53:53.505168,Ноутбук Asus X415JA-EB1180 (90NB0ST2-M18260),https://allo.ua/ua/products/notebooks/noutbuk-asus-x415ja-eb1180-90nb0st2-m18260.html,879468,"Інтернет магазин,Ноутбуки,Ноутбуки Asus",True,12999,14499,ALLO,"12 платежів,25 місяців,аванс 0%,Програма лояльності,Чорна П'ятниця"
2021-11-24 13:54:04.254555,"16в1 SuperSim MultiSim МультіСім карта, multi sim",https://allo.ua/ua/startovye-pakety/16v1-supersim-multisim-mul-tisim-karta-multi-sim.html,277-2296,"Інтернет магазин,Стартові пакети,Стартові пакети SKLP",False,None,None,Легенда,
2021-11-24 13:54:07.618407,Робот-пилосос RoboRock S6 Vacuum Cleaner,https://allo.ua/ua/roboty-pylesosy/xiaomi-mi-roborock-s6.html,536983,"Інтернет магазин,Роботи-пилососи,Роботи-пилососи RoboRock",True,10999,12999,ALLO,"15 платежів,25 місяців,аванс 0%,ЗА ОПЛАТУ КАРТКОЮ ОНЛАЙН,Програма лояльності,Чорна П'ятниця"
2021-11-24 13:54:09.618864,Грілка електрична Beurer HK 115 Cosy,https://allo.ua/ua/ujut-i-teplo/beurer-hk-125-grey.html,707139,"Інтернет магазин,Електричні грілки,Електричні грілки Beurer",True,2919,None,ALLO,"12 платежів,25 місяців,аванс 0%,ЗА ОПЛАТУ КАРТКОЮ ОНЛАЙН,Програма лояльності"
2021-11-24 13:54:09.733390,Beurer HK 35 Blue,https://allo.ua/ua/ujut-i-teplo/beurer-hk-35-blue.html,707129,"Інтернет магазин,Електричні грілки,Електричні грілки Beurer",True,1569,None,ALLO,"12 платежів,25 місяців,аванс 0%,ЗА ОПЛАТУ КАРТКОЮ ОНЛАЙН,Програма лояльності"
2021-11-24 13:54:13.338630,"Вентилятор airRoxy pRemium 150 S,01-021",https://allo.ua/ua/vytjazhnye-ventiljatory/ventiljator-airroxy-premium-150-s-01-021.html,821523,"Інтернет магазин,Витяжні вентилятори,Витяжні вентилятори airRoxy",True,703,None,ALLO,"12 платежів,25 місяців,аванс 0%,ЗА ОПЛАТУ КАРТКОЮ ОНЛАЙН,Програма лояльності"
2021-11-24 13:54:15.621325,Льдогенератор BULLET GoodFood IM12F,https://allo.ua/ua/l-dogeneratory/l-dogenerator-bullet-goodfood-im12f.html,32958-2743,"Інтернет магазин,Льодогенератори,Льодогенератори GoodFood",False,None,None,AllForCook,
2021-11-24 13:54:17.623628,Майнинг ферма GPU Nvidia GTX 1050 Ti 4 Гб 6 шт _Io,https://allo.ua/ua/majning-fermy/majning-ferma-gpu-nvidia-gtx-1050-ti-4-gb-6-sht-_io.html,54129-0150,"Інтернет магазин,Майнінг ферми,Майнінг ферми Nvidia",False,None,None,Asic Market,
2021-11-24 13:54:18.367649,GPU AMD RX 580 4Гб 6 шт _Earth,https://allo.ua/ua/majning-fermy/gpu-amd-rx-580-4gb-6-sht-_earth.html,52484-0150,"Інтернет магазин,Майнінг ферми,Майнінг ферми AMD",False,None,None,Asic Market,
2021-11-24 13:54:20.021992,GPU AMD RX 560 4Гб 5 шт _Mars,https://allo.ua/ua/majning-fermy/gpu-amd-rx-560-4gb-5-sht-_mars.html,51996-0150,"Інтернет магазин,Майнінг ферми,Майнінг ферми AMD",False,None,None,Asic Market,
2021-11-24 13:54:21.281235,Майнинг ферма GPU Nvidia GTX 1060 3 Гб 5 шт _Saturn,https://allo.ua/ua/majning-fermy/majning-ferma-gpu-nvidia-gtx-1060-3-gb-5-sht-_saturn.html,51995-0150,"Інтернет магазин,Майнінг ферми,Майнінг ферми Nvidia",False,None,None,Asic Market,
2021-11-24 13:54:23.019880,Комплект чорнила WWM для HP 177/85 Водорозчинні 6х100г B / C / M / Y / LC / LM (H77SET-6),https://allo.ua/ua/chernila-dlja-printerov-i-mfu/komplekt-chernil-wwm-dlja-hp-177-85-vodorastvorimye-6h100g-b-c-m-y-lc-lm-h77set-6_1.html,221096-0454,"Інтернет магазин,Чорнила для принтерів і БФП,Чорнила для принтерів і БФП WWM",True,349,None,Venditore,
2021-11-24 13:54:24.460773,Набор для приготовления раклета на 8 персон BOSKA BSK852044,https://allo.ua/ua/nabory-dlja-fondju/nabor-dlja-prigotovlenija-rakleta-na-8-person-boska-bsk852044_1.html,NW01328-0248,"Інтернет магазин,Набори для фондю,Набори для фондю BOSKA",False,None,None,Rasklad,
2021-11-24 13:54:29.226828,"Змінна рамка до телевізору Samsung Frame 43"" VG-SCFR43BR/RU",https://allo.ua/ua/ramki-dlja-televizorov/smennaja-ramka-k-televizoru-samsung-frame-43-vg-scfr43br-ru.html,558999,"Інтернет магазин,Рамки для телевізорів,Рамки для телевізорів Samsung",False,None,None,ALLO,
2021-11-24 13:54:29.696370,"Мойка парикмахерская Mali-2 керамика Украина, КЗ Rainbow Bronze (Velmi TM) Китай",https://allo.ua/ua/parikmaherskie-mojki/mojka-parikmaherskaja-mali-2-keramika-ukraina-kz-rainbow-bronze-velmi-tm-kitaj.html,1150340341-2820,"Інтернет магазин,Перукарські мийки,Перукарські мийки NN",False,None,None,CRON,
2021-11-24 13:54:29.963888,ЦАП NuPrime Evolution DAC,https://allo.ua/ua/usiliteli-dlja-naushnikov-i-capy/cap-nuprime-evolution-dac.html,57922-0159,"Інтернет магазин,Підсилювачі для навушників та ЦАПи,Підсилювачі для навушників та ЦАПи NN",True,105000,None,Personal Audio,
2021-11-24 13:54:30.471008,"Змінна рамка до телевізору Samsung Frame 43"" VG-SCFN43LP/RU",https://allo.ua/ua/ramki-dlja-televizorov/smennaja-ramka-k-televizoru-samsung-frame-43-vg-scfn43lp-ru.html,559001,"Інтернет магазин,Рамки для телевізорів,Рамки для телевізорів Samsung",False,None,None,ALLO,
2021-11-24 13:54:31.417843,Морозильна камера Edler EM-108FN,https://allo.ua/ua/morozil-nye-kamery/edler-em-108fn.html,491953,"Інтернет магазин,Морозильні камери,Морозильні камери Edler",True,3967,None,ALLO,"12 платежів,25 місяців,аванс 0%,ЗА ОПЛАТУ КАРТКОЮ ОНЛАЙН,Програма лояльності"
2021-11-24 13:54:32.112924,Телевізор Hisense 32A5710FA,https://allo.ua/ua/televizory/televizor-hisense-32a5710fa.html,851083,"Інтернет магазин,Телевізори,Телевізори Hisense",True,6499,7999,ALLO,"12 платежів,25 місяців,аванс 0%,Безкоштовна доставка!,Програма лояльності"
2021-11-24 13:54:33.732633,Робот-пилосос Polaris PVCR 1026,https://allo.ua/ua/roboty-pylesosy/robot-pylesos-polaris-pvcr-1026.html,847599,"Інтернет магазин,Роботи-пилососи,Роботи-пилососи Polaris",True,7099,None,ALLO,"25 місяців,аванс 0%,ЗА ОПЛАТУ КАРТКОЮ ОНЛАЙН,Програма лояльності"
2021-11-24 13:54:35.028784,Комп'ютер ARTLINE Overlord ASMV (ASMVv02),https://allo.ua/ua/kompjutery/artline-overlord-asmv-asmvv02.html,843992,"Інтернет магазин,Комп'ютери,Комп'ютери ARTLINE",True,40095,None,ALLO,"12 платежів,25 місяців,аванс 0%,Програма лояльності"
2021-11-24 13:54:36.938228,Комп'ютер ARTLINE Overlord DRAGON (DRAGONv10),https://allo.ua/ua/kompjutery/artline-overlord-dragon-dragonv10.html,844058,"Інтернет магазин,Комп'ютери,Комп'ютери ARTLINE",True,76974,None,ALLO,"12 платежів,25 місяців,аванс 0%,Програма лояльності"
2021-11-24 13:54:37.358025,Холодильник Electrolux RNT7ME34G1,https://allo.ua/ua/holodilniki/electrolux-rnt7me34g1.html,795290,"Інтернет магазин,Холодильники,Холодильники Electrolux",True,19119,22499,ALLO,"21 платеж,25 місяців,аванс 0%,ЗА ОПЛАТУ КАРТКОЮ ОНЛАЙН,Програма лояльності,Чорна П'ятниця"
2021-11-24 13:54:38.578219,Захисне скло ArmorStandart Full Cover Full Glue Black для Apple iPhone 12 mini,https://allo.ua/ua/zaschitnye-stekla-k-telefonam/armorstandart-full-cover-full-glue-black-dlja-apple-iphone-12-mini.html,711022,"Інтернет магазин,Захисне скло для смартфонів,Захисне скло для смартфонів Armor Standart",True,155,349,ALLO,"Безкоштовна поклейка!,Програма лояльності"
2021-11-24 13:54:38.928317,Чорнило WWM Epson Stylus Photo T50 / P50 / PX660 (Black) (E82 / B-2) 100г,https://allo.ua/ua/chernila-dlja-printerov-i-mfu/chernila-wwm-epson-stylus-photo-t50-p50-px660-black-e82-b-2-100g_1.html,220516-0454,"Інтернет магазин,Чорнила для принтерів і БФП,Чорнила для принтерів і БФП WWM",True,62,None,Venditore,
2021-11-24 13:54:39.953871,"Мойка парикмахерская Lady One керамика Украина основание Черное, КЗ Boom-24 (Velmi TM) Китай",https://allo.ua/ua/parikmaherskie-mojki/mojka-parikmaherskaja-lady-one-keramika-ukraina-osnovanie-chernoe-kz-boom-24-velmi-tm-kitaj.html,1148156902-2820,"Інтернет магазин,Перукарські мийки,Перукарські мийки NN",False,None,None,CRON,
2021-11-24 13:54:41.942859,Светодиодная LED голова SGCLBEAM100,https://allo.ua/ua/svetovye-golovy/svetodiodnaja-led-golova-sgclbeam100.html,58619-0521,"Інтернет магазин,Світлові голови,Світлові голови Sagitter",True,26877,None,AXE CAPITAL,
2021-11-24 13:54:46.398649,"Мойка парикмахерская Mali-1 керамика Украина, КЗ-Boom 06 (Velmi TM)",https://allo.ua/ua/parikmaherskie-mojki/mojka-parikmaherskaja-mali-1-keramika-ukraina-kz-boom-06-velmi-tm.html,810880724-2820,"Інтернет магазин,Перукарські мийки,Перукарські мийки NN",False,None,None,CRON,
