category,total_count,available_count,markdown_count,median_price,median_markdown_percent
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери Asus",35,35.0,5.0,4999.0,24.905023216547065
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери Cnv",1,1.0,1.0,593.0,31.046511627906977
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери D-Link",25,25.0,1.0,1005.0,57.142857142857146
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери Dahua",2,2.0,,1836.0,
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери Edimax",8,8.0,,2084.0,
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери Ergo",1,1.0,,2150.0,
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери Evdo-Link",5,5.0,3.0,1900.0,5.555555555555555
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери EvdoLink",7,7.0,3.0,2680.0,7.142857142857143
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери Google",3,3.0,1.0,7474.0,5.000617360167922
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери HP",3,3.0,,3320.0,
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери HPE",1,1.0,,20739.0,
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери Honor",1,1.0,,1429.0,
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери Huawei",6,6.0,3.0,2249.0,16.672224074691563
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери Keenetic",27,27.0,,2139.0,
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери LB-LINK",5,5.0,2.0,523.0,27.454545454545453
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери Linksys",17,17.0,,7201.0,
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери Mercusys",11,11.0,7.0,659.0,16.680567139282736
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери Mikrotik",154,154.0,2.0,2725.0,10.531574880831583
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери NN",10,10.0,6.0,618.0,4.963768115942029
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери Netgear",7,7.0,,7385.0,
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери Netis",33,33.0,7.0,620.0,12.531328320802006
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери Novatel",1,1.0,1.0,2500.0,3.8461538461538463
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери PIPO",3,3.0,,397.0,
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери Razer",1,1.0,,8181.0,
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери Silver Stone",1,1.0,,840.0,
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери Strong",1,1.0,,1890.0,
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери TP-Link",81,81.0,24.0,1421.0,12.93455379027763
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери Teltonika",2,2.0,,6228.0,
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери Tenda",60,60.0,4.0,999.0,25.046482882377916
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери Totolink",3,3.0,,995.0,
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери Ubiquiti",33,33.0,2.0,7385.0,7.6101510319540715
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери World Vision",3,3.0,1.0,1370.0,33.46666666666667
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери XPRO",3,3.0,1.0,843.0,15.302782324058919
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери Xiaomi",11,11.0,4.0,752.0,22.870827386403263
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери ZBToys",1,1.0,1.0,993.0,28.56115107913669
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери ZTE",3,3.0,1.0,3500.0,12.5
"Інтернет магазин,Wi-Fi роутери,Wi-Fi роутери Zyxel",13,13.0,,5009.0,
"Інтернет магазин,Ігрові консолі,Ігрові консолі  X PRO",1,1.0,,2810.0,
"Інтернет магазин,Ігрові консолі,Ігрові консолі 2K Games",2,2.0,,1246.0,
"Інтернет магазин,Ігрові консолі,Ігрові консолі ANBERNIC",5,5.0,1.0,3591.0,1.36986301369863
"Інтернет магазин,Ігрові консолі,Ігрові консолі Archos",1,,,,
"Інтернет магазин,Ігрові консолі,Ігрові консолі Borofone",2,2.0,2.0,162.5,33.39460784313725
"Інтернет магазин,Ігрові консолі,Ігрові консолі Cnv",2,2.0,2.0,743.5,29.61904761904762
"Інтернет магазин,Ігрові консолі,Ігрові консолі Data Frog",4,3.0,1.0,1299.0,35.359801488833746
"Інтернет магазин,Ігрові консолі,Ігрові консолі Dellta",1,1.0,1.0,679.0,32.032032032032035
"Інтернет магазин,Ігрові консолі,Ігрові консолі Dendi",7,3.0,,859.0,
"Інтернет магазин,Ігрові консолі,Ігрові консолі Dendy",5,5.0,2.0,1031.0,32.24301860565804
"Інтернет магазин,Ігрові консолі,Ігрові консолі Esperanza",2,2.0,2.0,547.0,21.224480623813214
"Інтернет магазин,Ігрові консолі,Ігрові консолі Exeq",2,,,,
"Інтернет магазин,Ігрові консолі,Ігрові консолі GEN",2,2.0,2.0,385.0,4.935897435897436
